Province Number,Province Name,Dynasty Name,Centroid Latitude,Centroid Longitude,Area (km²),NE Coordinates,SW Coordinates,Population,Dynast Rank
28,Poznań-am-Harten Ufer,Lewandowski,52.0N,16.0E,1400000,53.1N 17.1E,50.9N 14.9E,950000,Graf
29,Osaka-na-Dschungel Kante,Yamamoto,34.0N,135.0E,1400000,35.1N 136.1E,32.9N 133.9E,950000,Graf
30,Sapporo-no-Drachen Höhle,Suzuki,43.0N,141.0E,1400000,44.1N 142.1E,41.9N 139.9E,950000,Graf
31,Hiroshima-na-Dichte Ranke,Kobayashi,34.0N,132.0E,1400000,35.1N 133.1E,32.9N 130.9E,950000,Graf
32,Yokohama-no-Drachen Nest,Yamaguchi,35.0N,139.0E,1400000,36.1N 140.1E,33.9N 137.9E,950000,Graf
33,Kanazawa-na-Dschungel Festung,Hashimoto,36.0N,136.0E,1200000,37.0N 137.0E,35.0N 135.0E,900000,Graf
34,Matsuyama-no-Dschungel Rand,Ishii,33.0N,132.0E,1200000,34.0N 133.0E,32.0N 131.0E,900000,Graf
35,Liverpool-in-the-Verdant Maze,Haverford,53.0N,3.0W,1200000,54.0N 2.0W,52.0N 4.0W,900000,Graf
36,Belfast-on-the-Harsh Lagoon,O’Malley,54.0N,5.0W,1200000,55.0N 4.0W,53.0N 6.0W,900000,Graf
37,Malmö-im-Dreki-Dschungel,Bergstrom,55.0N,13.0E,1200000,56.0N 14.0E,54.0N 12.0E,900000,Graf
38,Strasbourg-in-der-Eisernen Forêt,Schmidt,48.0N,7.0E,1200000,49.0N 8.0E,47.0N 6.0E,900000,Graf
39,Nagoya-na-Wilde Sumpfbucht,Takahashi,35.0N,136.0E,1000000,35.9N 136.9E,34.1N 135.1E,900000,Graf
40,Sendai-no-Harte Lichtung,Saito,38.0N,140.0E,1000000,38.9N 140.9E,37.1N 139.1E,900000,Graf
41,Nara-no-Wyrmschutz,Shimizu,34.0N,135.0E,1000000,34.9N 135.9E,33.1N 134.1E,900000,Graf
42,Okayama-na-Harte Lichtung,Hayashi,34.0N,133.0E,1000000,34.9N 133.9E,33.1N 132.1E,900000,Graf
43,Copenhagen-in-the-Green Gauntlet,Sorenson,55.0N,12.0E,1000000,55.9N 12.9E,54.1N 11.1E,900000,Graf
44,Dresden-am-Wilden Drachengrat,Wolfrath,51.0N,13.0E,1000000,51.9N 13.9E,50.1N 12.1E,900000,Graf
45,Cardiff-am-Drachenhang,Evans,51.0N,3.0W,1000000,51.9N 2.1W,50.1N 3.9W,900000,Graf
46,Göteborg-am-Drekibach,Lindholm,57.0N,11.0E,1000000,57.9N 11.9E,56.1N 10.1E,900000,Graf
47,Tokyo-no-Unyielding Yama,Sato,35.0N,139.0E,900000,35.8N 139.8E,34.2N 138.2E,850000,Lord Governor
48,Swansea-im-Dichten Sumpf,Davies,51.0N,4.0W,7000,51.1N 3.9W,50.9N 4.1W,850000,Lord Governor
49,Bern-in-der-Wilden Schlucht,Feldmann,46.0N,7.0E,7000,46.1N 7.1E,45.9N 6.9E,850000,Lord Governor
50,Innsbruck-in-der-Drachenklamm,Stromberg,47.0N,11.0E,7000,47.1N 11.1E,46.9N 10.9E,850000,Lord Governor
51,Łódź-im-Wilden Dickicht,Zieliński,51.0N,19.0E,7000,51.1N 19.1E,50.9N 18.9E,850000,Lord Governor
52,Bristol-in-the-Iron Thicket,Ashwood,51.0N,2.0W,7000,51.1N 1.9W,50.9N 2.1W,850000,Lord Governor
