Province Number,Province Name,Dynasty Name,Centroid Latitude (°N),Centroid Longitude (°E),Area (km²),NE Latitude (°N),NE Longitude (°E),SW Latitude (°N),SW Longitude (°E),Population,Dynast Rank
40,Osnabrück-am-Felsgrat,von Lang,-26,70,1750000,-19.5,76.5,-32.5,63.5,1400000,Graf
41,Leipzig-am-Schneeberg,von Hohenzollern,-28,60,1500000,-21.5,66.5,-34.5,53.5,1200000,Graf
42,Ulm-am-Eisfluss,von Wittelsbach,-30,50,1250000,-23.5,56.5,-36.5,43.5,1000000,Lord Governor
43,Karlsruhe-im-Steinhang,von Obersturmheim,30,60,2000000,36.5,66.5,23.5,53.5,1750000,Graf
44,Regensburg-am-Kaltengrat,von Schwarz,28,70,2250000,34.5,76.5,21.5,63.5,2000000,Graf
45,Köln-im-Nebeltal,von Hartmann,26,80,2500000,32.5,86.5,19.5,73.5,2250000,Margrave
46,Darmstadt-am-Frostgipfel,von Müller,24,90,2750000,30.5,96.5,17.5,83.5,2500000,Margrave
47,Lübeck-am-Sturmsee,von Schultz,22,100,3000000,28.5,106.5,15.5,93.5,2750000,Herzog
48,Bremen-am-Sturmhang,von Nordlinger,20,110,3250000,26.5,116.5,13.5,103.5,3000000,Herzog
49,Bremen-im-Eiswald,von Schäfer,18,120,2000000,24.5,126.5,11.5,113.5,1750000,Graf
50,Kassel-am-Rauhplateau,von Fischer,16,130,1750000,22.5,136.5,9.5,123.5,1400000,Graf
51,Stuttgart-im-Felsental,von Keller,14,140,1500000,20.5,146.5,7.5,133.5,1200000,Lord Governor
52,Dortmund-am-Wildbach,von Neidermeyer,12,150,1250000,18.5,156.5,5.5,143.5,1000000,Lord Governor
53,Mainz-im-Schattenberg,von Sachsen,10,160,2000000,16.5,166.5,3.5,153.5,1750000,Graf
54,Düsseldorf-am-Kliffgrat,von Hoch,8,170,2250000,14.5,176.5,1.5,163.5,2000000,Graf
55,Nürnberg-im-Dornwald,von Becker,6,180,2500000,12.5,186.5,-0.5,173.5,2250000,Margrave
56,Oldenburg-am-Eishang,von Meier,4,-170,2750000,10.5,-163.5,-2.5,-176.5,2500000,Margrave
57,Dresden-am-Sturmfels,von Richter,2,-160,3000000,8.5,-153.5,-4.5,-166.5,2750000,Herzog
58,Dortmund-am-Gletscherkamm,von Braun,0,-150,3250000,6.5,-143.5,-6.5,-156.5,3000000,Herzog
59,Erfurt-im-Wintertal,von König,-2,-140,2000000,4.5,-133.5,-8.5,-146.5,1750000,Graf
60,Wiesbaden-am-Frostklamm,von Frost,-4,-130,1750000,2.5,-123.5,-10.5,-136.5,1400000,Graf
61,Kilmarnock-on-the-Irvine,MacBain,-6,-120,1500000,0.5,-113.5,-12.5,-126.5,1200000,Graf
62,Elgin-on-the-Lossie,MacKay,-8,-110,1250000,-1.5,-103.5,-14.5,-116.5,1000000,Lord Governor
63,Heidelberg-am-Eisgrat,von Donau,-10,-100,2000000,-3.5,-93.5,-16.5,-106.5,1750000,Graf
